Enhet;År;Sekundærflytting;Botid i Norge;Kommunenummer;Kommune;Antall
Personer;2019;alle;0-4 år;1235;Voss (t.o.m. 2019);241
Personer;2019;alle;0-4 år;1238;;110
Personer;2019;alle;0-4 år;1241;Fusa (t.o.m. 2019);56
Personer;2019;alle;0-4 år;1242;;22
Personer;2019;alle;0-4 år;1243;Os (Hordaland) (t.o.m. 2019);135
Personer;2019;alle;0-4 år;1244;;29
Personer;2019;alle;0-4 år;1245;Sund (t.o.m. 2019);48
Personer;2019;alle;0-4 år;1246;Fjell (t.o.m. 2019);231
Personer;2019;alle;0-4 år;1247;;227
Personer;2019;alle;0-4 år;1251;;94
Personer;2019;alle;0-4 år;1253;;51
Personer;2019;alle;0-4 år;1256;Meland (t.o.m. 2019);111
Personer;2019;alle;0-4 år;1259;Øygarden (t.o.m. 2019);53
Personer;2019;alle;0-4 år;1260;Radøy (t.o.m. 2019);61
Personer;2019;alle;0-4 år;1263;Lindås (t.o.m. 2019);140
Personer;2019;alle;0-4 år;1264;;45
Personer;2019;alle;0-4 år;1265;;19
Personer;2019;alle;0-4 år;1266;;35
Personer;2019;alle;0-4 år;1401;Flora (t.o.m. 2019);262
Personer;2019;alle;0-4 år;1411;;43
Personer;2019;alle;0-4 år;1412;;21
Personer;2019;alle;0-4 år;1413;;42
Personer;2019;alle;0-4 år;1416;;74
Personer;2019;alle;0-4 år;1417;;72
Personer;2019;alle;0-4 år;1418;Balestrand (t.o.m. 2019);53
Personer;2019;alle;0-4 år;1419;Leikanger (t.o.m. 2019);49
Personer;2019;alle;0-4 år;1420;Sogndal (t.o.m. 2019);183
Personer;2019;alle;0-4 år;1421;;22
Personer;2019;alle;0-4 år;1422;;48
Personer;2019;alle;0-4 år;1424;;46
Personer;2019;alle;0-4 år;1426;;85
Personer;2019;alle;0-4 år;1428;;51
Personer;2019;alle;0-4 år;1429;;34
Personer;2019;alle;0-4 år;1430;Gaular (t.o.m. 2019);38
Personer;2019;alle;0-4 år;1431;Jølster (t.o.m. 2019);65
Personer;2019;alle;0-4 år;1432;Førde (t.o.m. 2019);189
Personer;2019;alle;0-4 år;1433;Naustdal (t.o.m. 2019);44
Personer;2019;alle;0-4 år;1438;;33
Personer;2019;alle;0-4 år;1439;Vågsøy (t.o.m. 2019);86
Personer;2019;alle;0-4 år;1441;Selje (t.o.m. 2019);38
Personer;2019;alle;0-4 år;1443;Eid (t.o.m. 2019);134
Personer;2019;alle;0-4 år;1444;Hornindal (t.o.m. 2019);9
Personer;2019;alle;0-4 år;1445;;121
Personer;2019;alle;0-4 år;1449;;143
Personer;2019;alle;0-4 år;1502;Molde (t.o.m. 2019);508
Personer;2019;alle;0-4 år;1504;Ålesund (t.o.m. 2019);499
Personer;2019;alle;0-4 år;1505;Kristiansund;329
Personer;2019;alle;0-4 år;1511;Vanylven;27
Personer;2019;alle;0-4 år;1514;Sande (Møre og Romsdal);24
Personer;2019;alle;0-4 år;1515;Herøy (Møre og Romsdal);72
Personer;2019;alle;0-4 år;1516;Ulstein;169
Personer;2019;alle;0-4 år;1517;Hareid;82
Personer;2019;alle;0-4 år;1519;Volda (t.o.m. 2019);190
Personer;2019;alle;0-4 år;1520;Ørsta;108
Personer;2019;alle;0-4 år;1523;Ørskog (t.o.m. 2019);31
Personer;2019;alle;0-4 år;1525;Stranda;30
Personer;2019;alle;0-4 år;1526;Stordal (t.o.m. 2019);3
Personer;2019;alle;0-4 år;1528;Sykkylven;84
Personer;2019;alle;0-4 år;1529;Skodje (t.o.m. 2019);52
Personer;2019;alle;0-4 år;1531;Sula;68
Personer;2019;alle;0-4 år;1532;Giske;74
Personer;2019;alle;0-4 år;1534;Haram (t.o.m. 2019);106
Personer;2019;alle;0-4 år;1535;Vestnes;71
Personer;2019;alle;0-4 år;1539;Rauma;48
Personer;2019;alle;0-4 år;1543;Nesset (t.o.m. 2019);46
Personer;2019;alle;0-4 år;1545;Midsund (t.o.m. 2019);13
Personer;2019;alle;0-4 år;1546;Sandøy (t.o.m. 2019);20
Personer;2019;alle;0-4 år;1547;Aukra;93
Personer;2019;alle;0-4 år;1548;Fræna (t.o.m. 2019);84
Personer;2019;alle;0-4 år;1551;Eide (t.o.m. 2019);22
Personer;2019;alle;0-4 år;1554;Averøy;49
Personer;2019;alle;0-4 år;1557;Gjemnes;18
Personer;2019;alle;0-4 år;1560;Tingvoll;57
Personer;2019;alle;0-4 år;1563;Sunndal;208
Personer;2019;alle;0-4 år;1566;Surnadal;80
Personer;2019;alle;0-4 år;1567;;25
Personer;2019;alle;0-4 år;1571;Halsa (t.o.m. 2019);44
Personer;2019;alle;0-4 år;1573;Smøla;39
Personer;2019;alle;0-4 år;1576;Aure;73
Personer;2019;alle;0-4 år;1601;Trondheim (t.o.m. 2019);2495
Personer;2019;alle;0-4 år;1612;;45
Personer;2019;alle;0-4 år;1613;;14
Personer;2019;alle;0-4 år;1617;;60
Personer;2019;alle;0-4 år;1620;;26
Personer;2019;alle;0-4 år;1621;;68
Personer;2019;alle;0-4 år;1622;;13
Personer;2019;alle;0-4 år;1627;;36
Personer;2019;alle;0-4 år;1630;;61
Personer;2019;alle;0-4 år;1633;;17
Personer;2019;alle;0-4 år;1634;;101
Personer;2019;alle;0-4 år;1635;;66
Personer;2019;alle;0-4 år;1636;;52
Personer;2019;alle;0-4 år;1638;;187
Personer;2019;alle;0-4 år;1640;;83
Personer;2019;alle;0-4 år;1644;;33
Personer;2019;alle;0-4 år;1648;;67
Personer;2019;alle;0-4 år;1653;;177
Personer;2019;alle;0-4 år;1657;;84
Personer;2019;alle;0-4 år;1662;;82
Personer;2019;alle;0-4 år;1663;;176
Personer;2019;alle;0-4 år;1664;;44
Personer;2019;alle;0-4 år;1665;;13
Personer;2019;alle;0-4 år;1702;;352
